2013-12-29 12:18:40 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 1:45:02 - INFO  --> 38	okeleven	8.75	0	0.01306365	0.00653183	0.00000000	0.00013064 
2013-12-31 1:45:02 - INFO  --> 31	nbsunny	8580	80	12.80984178	6.40492089	0.00000000	0.12809842 
2013-12-31 1:45:02 - INFO  --> 19	lary	665	0	0.99283739	0.49641870	0.00000000	0.00992837 
2013-12-31 1:45:02 - INFO  --> 34	gaosony	532.5	0	0.79501640	0.39750820	0.00000000	0.00795016 
2013-12-31 1:45:02 - INFO  --> 3	capslock1874	2520	60	3.76233115	1.88116558	0.00000000	0.03762331 
2013-12-31 1:45:02 - INFO  --> 8	a768361999	3213.75	18.75	4.79809196	2.39904598	0.00000000	0.04798092 
2013-12-31 1:53:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 1:53:01 - INFO  --> 30	zhenxijiao713	10800	140	60.12860841	30.06430421	0.00000000	0.60128608 
2013-12-31 1:53:01 - INFO  --> 6	zhengyi2	864	64	4.81028867	2.40514434	0.00000000	0.04810289 
2013-12-31 1:53:01 - INFO  --> 32	x358512028	4025	38.75	22.40904156	11.20452078	0.00000000	0.22409042 
2013-12-31 1:53:01 - INFO  --> 21	WTQ282859849	330	30	1.83726303	0.91863152	0.00000000	0.01837263 
2013-12-31 1:53:01 - INFO  --> 37	qwe57001	330	0	1.83726303	0.91863152	0.00000000	0.01837263 
2013-12-31 1:53:01 - INFO  --> 19	lary	150	0	0.83511956	0.41755978	0.00000000	0.00835120 
2013-12-31 1:53:01 - INFO  --> 34	gaosony	110	5	0.61242101	0.30621051	0.00000000	0.00612421 
2013-12-31 1:53:01 - INFO  --> 3	capslock1874	460	20	2.56103332	1.28051666	0.00000000	0.02561033 
2013-12-31 1:53:01 - INFO  --> 8	a768361999	892.5	32.5	4.96896139	2.48448070	0.00000000	0.04968961 
2013-12-31 2:09:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 2:09:02 - INFO  --> 30	zhenxijiao713	20250	450	53.77807581	26.88903791	0.00000000	0.53778076 
2013-12-31 2:09:02 - INFO  --> 6	zhengyi2	2336	0	6.20373260	3.10186630	0.00000000	0.06203733 
2013-12-31 2:09:02 - INFO  --> 32	x358512028	9676.25	107.5	25.69728919	12.84864460	0.00000000	0.25697289 
2013-12-31 2:09:02 - INFO  --> 21	WTQ282859849	520	10	1.38096787	0.69048394	0.00000000	0.01380968 
2013-12-31 2:09:02 - INFO  --> 37	qwe57001	560	0	1.48719617	0.74359809	0.00000000	0.01487196 
2013-12-31 2:09:02 - INFO  --> 19	lary	425	0	1.12867567	0.56433784	0.00000000	0.01128676 
2013-12-31 2:09:02 - INFO  --> 34	gaosony	357.5	0	0.94941541	0.47470771	0.00000000	0.00949415 
2013-12-31 2:09:02 - INFO  --> 3	capslock1874	1380	40	3.66487628	1.83243814	0.00000000	0.03664876 
2013-12-31 2:09:02 - INFO  --> 8	a768361999	2150	30	5.70977101	2.85488551	0.00000000	0.05709771 
2013-12-31 3:13:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:13:02 - INFO  --> 30	zhenxijiao713	81570	1620	51.39870385	25.69935193	0.00000000	0.51398704 
2013-12-31 3:13:02 - INFO  --> 6	zhengyi2	9648	160	6.07937593	3.03968797	0.00000000	0.06079376 
2013-12-31 3:13:02 - INFO  --> 32	x358512028	45665	357.5	28.77432648	14.38716324	0.00000000	0.28774326 
2013-12-31 3:13:02 - INFO  --> 21	WTQ282859849	2760	80	1.73912496	0.86956248	0.00000000	0.01739125 
2013-12-31 3:13:02 - INFO  --> 37	qwe57001	2770	0	1.74542613	0.87271307	0.00000000	0.01745426 
2013-12-31 3:13:02 - INFO  --> 19	lary	1235	10	0.77819541	0.38909771	0.00000000	0.00778195 
2013-12-31 3:13:02 - INFO  --> 34	gaosony	1092.5	0	0.68840363	0.34420182	0.00000000	0.00688404 
2013-12-31 3:13:02 - INFO  --> 3	capslock1874	5950	210	3.74920054	1.87460027	0.00000000	0.03749201 
2013-12-31 3:13:02 - INFO  --> 8	a768361999	8010	40	5.04724308	2.52362154	0.00000000	0.05047243 
2013-12-31 3:16:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:16:01 - INFO  --> 30	zhenxijiao713	4140	80	53.27842481	26.63921241	0.00000000	0.53278425 
2013-12-31 3:16:01 - INFO  --> 6	zhengyi2	448	0	5.76539476	2.88269738	0.00000000	0.05765395 
2013-12-31 3:16:02 - INFO  --> 32	x358512028	2187.5	31.25	28.15134161	14.07567081	0.00000000	0.28151342 
2013-12-31 3:16:02 - INFO  --> 21	WTQ282859849	100	0	1.28691847	0.64345924	0.00000000	0.01286918 
2013-12-31 3:16:02 - INFO  --> 37	qwe57001	110	0	1.41561032	0.70780516	0.00000000	0.01415610 
2013-12-31 3:16:02 - INFO  --> 19	lary	60	0	0.77215108	0.38607554	0.00000000	0.00772151 
2013-12-31 3:16:02 - INFO  --> 34	gaosony	65	0	0.83649701	0.41824851	0.00000000	0.00836497 
2013-12-31 3:16:02 - INFO  --> 3	capslock1874	320	0	4.11813912	2.05906956	0.00000000	0.04118139 
2013-12-31 3:16:02 - INFO  --> 8	a768361999	340	0	4.37552281	2.18776141	0.00000000	0.04375523 
2013-12-31 3:23:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:23:02 - INFO  --> 30	zhenxijiao713	9760	100	51.83562371	25.91781186	0.00000000	0.51835624 
2013-12-31 3:23:02 - INFO  --> 6	zhengyi2	960	0	5.09858594	2.54929297	0.00000000	0.05098586 
2013-12-31 3:23:02 - INFO  --> 32	x358512028	5728.75	46.25	30.42554604	15.21277302	0.00000000	0.30425546 
2013-12-31 3:23:02 - INFO  --> 21	WTQ282859849	290	0	1.54019784	0.77009892	0.00000000	0.01540198 
2013-12-31 3:23:02 - INFO  --> 37	qwe57001	260	0	1.38086703	0.69043352	0.00000000	0.01380867 
2013-12-31 3:23:02 - INFO  --> 19	lary	120	0	0.63732324	0.31866162	0.00000000	0.00637323 
2013-12-31 3:23:02 - INFO  --> 34	gaosony	90	0	0.47799243	0.23899622	0.00000000	0.00477992 
2013-12-31 3:23:02 - INFO  --> 3	capslock1874	720	0	3.82393945	1.91196973	0.00000000	0.03823939 
2013-12-31 3:23:02 - INFO  --> 8	a768361999	900	0	4.77992432	2.38996216	0.00000000	0.04779924 
2013-12-31 3:27:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:27:01 - INFO  --> 30	zhenxijiao713	4610	80	50.01491768	25.00745884	0.00000000	0.50014918 
2013-12-31 3:27:01 - INFO  --> 6	zhengyi2	576	0	6.24915240	3.12457620	0.00000000	0.06249152 
2013-12-31 3:27:01 - INFO  --> 32	x358512028	2861.25	18.75	31.04233909	15.52116955	0.00000000	0.31042339 
2013-12-31 3:27:01 - INFO  --> 21	WTQ282859849	150	10	1.62738344	0.81369172	0.00000000	0.01627383 
2013-12-31 3:27:01 - INFO  --> 37	qwe57001	110	0	1.19341452	0.59670726	0.00000000	0.01193415 
2013-12-31 3:27:01 - INFO  --> 19	lary	60	0	0.65095338	0.32547669	0.00000000	0.00650953 
2013-12-31 3:27:01 - INFO  --> 34	gaosony	50	0	0.54246115	0.27123058	0.00000000	0.00542461 
2013-12-31 3:27:01 - INFO  --> 3	capslock1874	220	0	2.38682904	1.19341452	0.00000000	0.02386829 
2013-12-31 3:27:01 - INFO  --> 8	a768361999	580	0	6.29254930	3.14627465	0.00000000	0.06292549 
2013-12-31 3:31:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:31:01 - INFO  --> 30	zhenxijiao713	5950	60	55.53351845	27.76675923	0.00000000	0.55533518 
2013-12-31 3:31:01 - INFO  --> 6	zhengyi2	608	0	5.67468558	2.83734279	0.00000000	0.05674686 
2013-12-31 3:31:01 - INFO  --> 32	x358512028	2643.75	7.5	24.67508225	12.33754113	0.00000000	0.24675082 
2013-12-31 3:31:01 - INFO  --> 21	WTQ282859849	230	10	2.14667382	1.07333691	0.00000000	0.02146674 
2013-12-31 3:31:01 - INFO  --> 37	qwe57001	180	0	1.68000560	0.84000280	0.00000000	0.01680006 
2013-12-31 3:31:01 - INFO  --> 19	lary	50	0	0.46666822	0.23333411	0.00000000	0.00466668 
2013-12-31 3:31:01 - INFO  --> 34	gaosony	72.5	2.5	0.67666892	0.33833446	0.00000000	0.00676669 
2013-12-31 3:31:01 - INFO  --> 3	capslock1874	420	0	3.92001307	1.96000654	0.00000000	0.03920013 
2013-12-31 3:31:02 - INFO  --> 8	a768361999	560	0	5.22668409	2.61334205	0.00000000	0.05226684 
2013-12-31 3:33:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:33:02 - INFO  --> 30	zhenxijiao713	2500	200	50.63291139	25.31645570	0.00000000	0.50632911 
2013-12-31 3:33:02 - INFO  --> 6	zhengyi2	480	0	9.72151899	4.86075950	0.00000000	0.09721519 
2013-12-31 3:33:02 - INFO  --> 32	x358512028	1377.5	21.25	27.89873418	13.94936709	0.00000000	0.27898734 
2013-12-31 3:33:02 - INFO  --> 21	WTQ282859849	70	0	1.41772152	0.70886076	0.00000000	0.01417722 
2013-12-31 3:33:02 - INFO  --> 37	qwe57001	80	0	1.62025316	0.81012658	0.00000000	0.01620253 
2013-12-31 3:33:02 - INFO  --> 19	lary	10	6.25	0.20253165	0.10126583	0.00000000	0.00202532 
2013-12-31 3:33:02 - INFO  --> 34	gaosony	40	0	0.81012658	0.40506329	0.00000000	0.00810127 
2013-12-31 3:33:02 - INFO  --> 3	capslock1874	180	0	3.64556962	1.82278481	0.00000000	0.03645570 
2013-12-31 3:33:02 - INFO  --> 8	a768361999	200	0	4.05063291	2.02531646	0.00000000	0.04050633 
2013-12-31 3:42:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:42:02 - INFO  --> 30	zhenxijiao713	10680	150	50.52691339	25.26345670	0.00000000	0.50526913 
2013-12-31 3:42:02 - INFO  --> 6	zhengyi2	1376	64	6.50983453	3.25491727	0.00000000	0.06509835 
2013-12-31 3:42:02 - INFO  --> 32	x358512028	6088.75	78.75	28.80578126	14.40289063	0.00000000	0.28805781 
2013-12-31 3:42:02 - INFO  --> 21	WTQ282859849	370	0	1.75046423	0.87523212	0.00000000	0.01750464 
2013-12-31 3:42:02 - INFO  --> 42	qwep	55	0	0.26020414	0.13010207	0.00000000	0.00260204 
2013-12-31 3:42:02 - INFO  --> 37	qwe57001	400	0	1.89239376	0.94619688	0.00000000	0.01892394 
2013-12-31 3:42:02 - INFO  --> 19	lary	132.5	26.25	0.62685543	0.31342772	0.00000000	0.00626855 
2013-12-31 3:42:02 - INFO  --> 34	gaosony	135	0	0.63868289	0.31934145	0.00000000	0.00638683 
2013-12-31 3:42:02 - INFO  --> 3	capslock1874	680	20	3.21706939	1.60853470	0.00000000	0.03217069 
2013-12-31 3:42:02 - INFO  --> 8	a768361999	1220	0	5.77180097	2.88590049	0.00000000	0.05771801 
2013-12-31 3:52:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 3:52:02 - INFO  --> 30	zhenxijiao713	13250	160	50.23220548	25.11610274	0.00000000	0.50232205 
2013-12-31 3:52:02 - INFO  --> 6	zhengyi2	1600	32	6.06577576	3.03288788	0.00000000	0.06065776 
2013-12-31 3:52:02 - INFO  --> 32	x358512028	7283.75	28.75	27.61349635	13.80674818	0.00000000	0.27613496 
2013-12-31 3:52:02 - INFO  --> 21	WTQ282859849	390	0	1.47853284	0.73926642	0.00000000	0.01478533 
2013-12-31 3:52:02 - INFO  --> 42	qwep	1311.25	0	4.97109279	2.48554640	0.00000000	0.04971093 
2013-12-31 3:52:02 - INFO  --> 37	qwe57001	415	0	1.57331059	0.78665530	0.00000000	0.01573311 
2013-12-31 3:52:02 - INFO  --> 19	lary	165	0	0.62553312	0.31276656	0.00000000	0.00625533 
2013-12-31 3:52:02 - INFO  --> 34	gaosony	142.5	0	0.54023315	0.27011658	0.00000000	0.00540233 
2013-12-31 3:52:02 - INFO  --> 3	capslock1874	1000	0	3.79110985	1.89555493	0.00000000	0.03791110 
2013-12-31 3:52:02 - INFO  --> 8	a768361999	820	0	3.10871007	1.55435504	0.00000000	0.03108710 
2013-12-31 4:00:02 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 4:00:02 - INFO  --> 30	zhenxijiao713	11460	640	50.90392218	25.45196109	0.00000000	0.50903922 
2013-12-31 4:00:02 - INFO  --> 6	zhengyi2	1088	0	4.83276329	2.41638165	0.00000000	0.04832763 
2013-12-31 4:00:02 - INFO  --> 32	x358512028	6180	77.5	27.45080620	13.72540310	0.00000000	0.27450806 
2013-12-31 4:00:02 - INFO  --> 21	WTQ282859849	330	20	1.46581975	0.73290988	0.00000000	0.01465820 
2013-12-31 4:00:02 - INFO  --> 42	qwep	960	0	4.26420290	2.13210145	0.00000000	0.04264203 
2013-12-31 4:00:02 - INFO  --> 37	qwe57001	340	0	1.51023853	0.75511927	0.00000000	0.01510239 
2013-12-31 4:00:02 - INFO  --> 19	lary	225	0	0.99942256	0.49971128	0.00000000	0.00999423 
2013-12-31 4:00:02 - INFO  --> 34	gaosony	100	0	0.44418780	0.22209390	0.00000000	0.00444188 
2013-12-31 4:00:02 - INFO  --> 3	capslock1874	660	0	2.93163950	1.46581975	0.00000000	0.02931640 
2013-12-31 4:00:02 - INFO  --> 8	a768361999	1170	0	5.19699729	2.59849865	0.00000000	0.05196997 
2013-12-31 4:53:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 4:53:01 - INFO  --> 30	zhenxijiao713	70578	1392	51.38925295	25.69462648	0.00000000	0.51389253 
2013-12-31 4:53:01 - INFO  --> 6	zhengyi2	6832	96	4.97451580	2.48725790	0.00000000	0.04974516 
2013-12-31 4:53:01 - INFO  --> 32	x358512028	37530	385	27.32634338	13.66317169	0.00000000	0.27326343 
2013-12-31 4:53:01 - INFO  --> 21	WTQ282859849	2200	70	1.60186399	0.80093200	0.00000000	0.01601864 
2013-12-31 4:53:01 - INFO  --> 42	qwep	5300	40	3.85903597	1.92951799	0.00000000	0.03859036 
2013-12-31 4:53:01 - INFO  --> 37	qwe57001	1990	10	1.44895879	0.72447940	0.00000000	0.01448959 
2013-12-31 4:53:01 - INFO  --> 43	neumany	1.25	0	0.00091015	0.00045508	0.00000000	0.00000910 
2013-12-31 4:53:01 - INFO  --> 19	lary	1028.75	5	0.74905344	0.37452672	0.00000000	0.00749053 
2013-12-31 4:53:02 - INFO  --> 34	gaosony	930	0	0.67715159	0.33857580	0.00000000	0.00677152 
2013-12-31 4:53:02 - INFO  --> 3	capslock1874	4860	140	3.53866317	1.76933159	0.00000000	0.03538663 
2013-12-31 4:53:02 - INFO  --> 8	a768361999	6090	0	4.43425076	2.21712538	0.00000000	0.04434251 
2013-12-31 5:39:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 5:39:01 - INFO  --> 30	zhenxijiao713	59828	1384	48.59561057	24.29780529	0.00000000	0.48595611 
2013-12-31 5:39:01 - INFO  --> 6	zhengyi2	6656	192	5.40637133	2.70318567	0.00000000	0.05406371 
2013-12-31 5:39:01 - INFO  --> 32	x358512028	33465	315	27.18212389	13.59106195	0.00000000	0.27182124 
2013-12-31 5:39:01 - INFO  --> 21	WTQ282859849	2010	25	1.63263317	0.81631659	0.00000000	0.01632633 
2013-12-31 5:39:01 - INFO  --> 40	sking	5361.25	172.5	4.35470377	2.17735189	0.00000000	0.04354704 
2013-12-31 5:39:01 - INFO  --> 42	qwep	2566.25	32.5	2.08445018	1.04222509	0.00000000	0.02084450 
2013-12-31 5:39:01 - INFO  --> 37	qwe57001	1650	0	1.34022126	0.67011063	0.00000000	0.01340221 
2013-12-31 5:39:01 - INFO  --> 19	lary	920	5	0.74727488	0.37363744	0.00000000	0.00747275 
2013-12-31 5:39:01 - INFO  --> 34	gaosony	682.5	0	0.55436425	0.27718213	0.00000000	0.00554364 
2013-12-31 5:39:01 - INFO  --> 3	capslock1874	4260	60	3.46020761	1.73010381	0.00000000	0.03460208 
2013-12-31 5:39:01 - INFO  --> 8	a768361999	5715	0	4.64203909	2.32101955	0.00000000	0.04642039 
2013-12-31 6:05:01 - INFO  --> ID	Username	Valid	Invalid	Percentage	Payout		Donation	Fee 
2013-12-31 6:05:01 - INFO  --> 30	zhenxijiao713	33210	674	49.61789292	24.80894646	0.00000000	0.49617893 
2013-12-31 6:05:02 - INFO  --> 6	zhengyi2	3728	96	5.56987368	2.78493684	0.00000000	0.05569874 
2013-12-31 6:05:02 - INFO  --> 32	x358512028	18645	272.5	27.85683871	13.92841936	0.00000000	0.27856839 
2013-12-31 6:05:02 - INFO  --> 21	WTQ282859849	1170	40	1.74805585	0.87402793	0.00000000	0.01748056 
2013-12-31 6:05:02 - INFO  --> 42	qwep	2916	56	4.35669304	2.17834652	0.00000000	0.04356693 
2013-12-31 6:05:02 - INFO  --> 37	qwe57001	990	0	1.47912418	0.73956209	0.00000000	0.01479124 
2013-12-31 6:05:02 - INFO  --> 19	lary	550	0	0.82173566	0.41086783	0.00000000	0.00821736 
